Ticker,Revenue_per_Share,Z_score
KKR,16.13937207958437,-0.33894938341925973
CCI,16.063119809548326,-0.33930603882270505
FCX,15.90621180282089,-0.34003994600234333
LNT,15.693747342935948,-0.34103370786179
TRMB,15.555182467404835,-0.3416818185549213
VRSN,15.536940686784598,-0.3417671409935004
CME,15.492898387958771,-0.3419731404194711
BEN,15.008469936528401,-0.3442389618134257
CDNS,14.912641809864493,-0.3446871795407218
GLW,14.702017436340405,-0.34567233474828657
BRO,14.685372554829867,-0.34575018799682117
PAYX,14.666100491410367,-0.3458403293860658
CPT,14.454560793393387,-0.3468297658488134
LVS,14.305694180472296,-0.34752606094751415
MCHP,14.229876914174174,-0.34788068170420633
AMD,13.975758236399907,-0.3490692731979641
BF-B,13.764384935329398,-0.350057931370832
NEE,13.671464695584516,-0.3504925480134418
CSCO,13.497924923657987,-0.35130424709257746
CNP,13.343010678140166,-0.352028828835632
FRT,13.325087340422005,-0.3521126618184657
CRWD,13.129917904748442,-0.35302552951128896
MTCH,13.046022201406862,-0.3534179356115726
VTRS,12.924789746230585,-0.3539849772247746
BAC,12.847978641065511,-0.35434424647261187
FAST,12.82412873218157,-0.3544557998581191
IVZ,12.718939124243503,-0.35494780412290583
INTC,12.573151125592783,-0.3556296995924004
FITB,12.435879952337073,-0.3562717592406677
MO,12.09693133363085,-0.3578571265522867
EXR,12.077648102197356,-0.35794732017777997
NI,11.794446420349734,-0.35927194185852473
LRCX,11.5842863812995,-0.36025492523043096
MRO,11.45369143304068,-0.3608657581136639
PPL,11.26333073189058,-0.3617561338708279
KDP,10.921154097670097,-0.36335659960738587
VTR,10.725583131703056,-0.3642713453813305
KO,10.621198597948672,-0.3647595840656611
SCHW,10.591867410696743,-0.36489677508198
WY,10.561780818973642,-0.36503749935817825
NDAQ,10.550527058677856,-0.36509013666873535
APH,10.413566714457467,-0.36573074247366205
WELL,10.403621651958352,-0.36577725860067356
NEM,10.37551012514868,-0.36590874488863623
PFE,10.322763215327962,-0.3661554584670478
EW,9.96812749003984,-0.3678141992182275
BX,9.730416438579946,-0.3689260471792358
BSX,9.669774380043602,-0.36920968880515476
DAY,9.59860494610019,-0.3695425702152959
AMCR,9.437225634112929,-0.3702973910697745
PCG,9.340776996023248,-0.37074851112053975
DXCM,9.273800037915487,-0.37106178302712256
WMB,8.948011428462218,-0.3725855969134175
PLD,8.663016393135631,-0.3739186066619307
EQT,8.496929242443679,-0.3746954475311811
RF,8.313940724478595,-0.3755513413120462
KVUE,8.064035888681568,-0.3767202233662065
CTRA,7.9997404588770165,-0.3770209529372185
AVGO,7.669068570098069,-0.3785676074282222
EQR,7.580298362592843,-0.37898281308907306
HST,7.560788110016514,-0.37907406856252507
CSX,7.560064909127617,-0.37907745119631003
TECH,7.3059516155465625,-0.38026601750653427
MNST,7.289609792951362,-0.38034245325497773
